location_id,location,year,sex,ages,risk,exposure min,exposure mean,exposure max
12,Lao People's Democratic Republic,2011,Both,1 to 4,Discontinued breastfeeding,67.29475621033818,835.8587785401219,3340.970153724218
12,Lao People's Democratic Republic,2011,Both,Late Neonatal,Non-exclusive breastfeeding,26.790982350307907,318.23974935810156,1361.464218698944
12,Lao People's Democratic Republic,2011,Both,Post Neonatal,Discontinued breastfeeding,8.36373760143766,204.27101356964994,1019.5757987899627
12,Lao People's Democratic Republic,2011,Both,Post Neonatal,Non-exclusive breastfeeding,244.87468966754474,3517.356754997789,15758.186333123122
13,Malaysia,2011,Both,1 to 4,Discontinued breastfeeding,192.8604619737429,1577.847208676344,5629.587052633304
13,Malaysia,2011,Both,Late Neonatal,Non-exclusive breastfeeding,138.20173820233646,418.2312367562496,991.9119431091005
13,Malaysia,2011,Both,Post Neonatal,Discontinued breastfeeding,46.80747801241787,302.94395110626704,904.5506914878819
13,Malaysia,2011,Both,Post Neonatal,Non-exclusive breastfeeding,1385.2998810416116,4051.1877644803344,9449.547983770099
14,Maldives,2011,Both,1 to 4,Discontinued breastfeeding,1.9403772979412672,22.5758075543393,90.511138946005
14,Maldives,2011,Both,Late Neonatal,Non-exclusive breastfeeding,2.2672257461163565,12.688702385651895,40.47621111145762
14,Maldives,2011,Both,Post Neonatal,Discontinued breastfeeding,0.9103339639025604,9.843412209923633,37.92698488465958
14,Maldives,2011,Both,Post Neonatal,Non-exclusive breastfeeding,20.624049887173427,116.53783766251244,379.34677229914485
15,Myanmar,2011,Both,1 to 4,Discontinued breastfeeding,178.27677355737163,1981.525064963699,7697.576633029429
15,Myanmar,2011,Both,Late Neonatal,Non-exclusive breastfeeding,284.5352930633301,2554.632464730498,9599.828195706099
15,Myanmar,2011,Both,Post Neonatal,Discontinued breastfeeding,38.396861043818674,389.4463108697349,1401.4205880460045
15,Myanmar,2011,Both,Post Neonatal,Non-exclusive breastfeeding,3662.5691863948628,19569.508745020787,61199.39074507375
16,Philippines,2011,Both,1 to 4,Discontinued breastfeeding,1819.22344194993,11055.66081521552,32751.36433265801
16,Philippines,2011,Both,Late Neonatal,Non-exclusive breastfeeding,1220.0012416802194,3162.8576577996914,6829.372946829659
16,Philippines,2011,Both,Post Neonatal,Discontinued breastfeeding,1177.629750282948,5396.974035442108,13286.623789583558
16,Philippines,2011,Both,Post Neonatal,Non-exclusive breastfeeding,17030.678619604987,35350.85897989885,65471.219920404794
17,Sri Lanka,2011,Both,1 to 4,Discontinued breastfeeding,85.05362759093154,680.1887934235912,2373.4797161820275
17,Sri Lanka,2011,Both,Late Neonatal,Non-exclusive breastfeeding,51.4294848692198,203.32967519781164,551.8930162442812
17,Sri Lanka,2011,Both,Post Neonatal,Discontinued breastfeeding,19.43616143327049,155.3593392073921,514.3281422587589
17,Sri Lanka,2011,Both,Post Neonatal,Non-exclusive breastfeeding,413.1793587683791,1616.8153970012697,4377.000632245566
18,Thailand,2011,Both,1 to 4,Discontinued breastfeeding,413.9851606665219,2947.9124929961076,9298.88538537296
18,Thailand,2011,Both,Late Neonatal,Non-exclusive breastfeeding,267.17648151334646,1075.470949518611,2988.8185275365686
18,Thailand,2011,Both,Post Neonatal,Discontinued breastfeeding,286.767640204906,1863.6542360180424,5783.78264587943
18,Thailand,2011,Both,Post Neonatal,Non-exclusive breastfeeding,3089.7501882973884,10287.581527681848,25849.745022059855
19,Timor-Leste,2011,Both,1 to 4,Discontinued breastfeeding,8.767181778924462,636.6507255603823,3742.6790561158846
19,Timor-Leste,2011,Both,Late Neonatal,Non-exclusive breastfeeding,5.467246537087215,73.42962045602233,318.0779471913318
19,Timor-Leste,2011,Both,Post Neonatal,Discontinued breastfeeding,3.3241951612854876,63.2051848142304,284.6005679296578
19,Timor-Leste,2011,Both,Post Neonatal,Non-exclusive breastfeeding,73.86913554573083,708.9475776236054,2785.174288524309
20,Viet Nam,2011,Both,1 to 4,Discontinued breastfeeding,619.1778500409798,6626.512467212342,25253.644966191332
20,Viet Nam,2011,Both,Late Neonatal,Non-exclusive breastfeeding,245.98373494147864,2505.2491148809454,10225.372440851563
20,Viet Nam,2011,Both,Post Neonatal,Discontinued breastfeeding,79.71931654097695,1007.2649230089793,3999.9914874337333
20,Viet Nam,2011,Both,Post Neonatal,Non-exclusive breastfeeding,3133.4927903985263,22029.97670024032,77071.99023615617
21,Oceania,2011,Both,1 to 4,Discontinued breastfeeding,143.81183288492068,1453.5649340157552,5523.6612894176105
21,Oceania,2011,Both,Late Neonatal,Non-exclusive breastfeeding,78.30054512898772,630.4968847221928,2250.93305974931
21,Oceania,2011,Both,Post Neonatal,Discontinued breastfeeding,48.883253740514995,478.1223573655661,1738.3001267025643
21,Oceania,2011,Both,Post Neonatal,Non-exclusive breastfeeding,908.5511181632993,4805.7354697630135,14763.521886439075
22,Fiji,2011,Both,1 to 4,Discontinued breastfeeding,7.557189935794993,60.79520049886457,207.12379777620964
22,Fiji,2011,Both,Late Neonatal,Non-exclusive breastfeeding,5.740351963457774,25.59549816144338,74.40209152741029
22,Fiji,2011,Both,Post Neonatal,Discontinued breastfeeding,1.9870361587679377,17.370959487582496,58.37653015422475
22,Fiji,2011,Both,Post Neonatal,Non-exclusive breastfeeding,59.85431873692827,218.21179940693455,574.5002817370214
23,Kiribati,2011,Both,1 to 4,Discontinued breastfeeding,1.1408229134633647,12.538935612479339,49.2426594221982
23,Kiribati,2011,Both,Late Neonatal,Non-exclusive breastfeeding,0.6953392795011742,5.1791550081033035,18.568879644072144
23,Kiribati,2011,Both,Post Neonatal,Discontinued breastfeeding,0.2550788992800606,3.6356023416101504,15.20293874196875
23,Kiribati,2011,Both,Post Neonatal,Non-exclusive breastfeeding,6.669409885920584,47.47284268834704,169.2746580365562
24,Marshall Islands,2011,Both,1 to 4,Discontinued breastfeeding,0.3267881438898733,6.446448539971373,31.48108016903766
24,Marshall Islands,2011,Both,Late Neonatal,Non-exclusive breastfeeding,0.1956219427902451,2.931567344434895,13.576877163525783
24,Marshall Islands,2011,Both,Post Neonatal,Discontinued breastfeeding,0.06810178054094071,1.5649332048855964,7.437499581394827
24,Marshall Islands,2011,Both,Post Neonatal,Non-exclusive breastfeeding,1.956935430735398,24.271273235721566,105.1918469011537
25,Micronesia (Federated States of),2011,Both,1 to 4,Discontinued breastfeeding,0.15967473748732255,20.732970142531638,146.32137008696114
25,Micronesia (Federated States of),2011,Both,Late Neonatal,Non-exclusive breastfeeding,0.24379322084791713,4.468635879257765,22.03639174854859
25,Micronesia (Federated States of),2011,Both,Post Neonatal,Discontinued breastfeeding,0.0946544023065099,3.208871827824805,17.157838638215015
25,Micronesia (Federated States of),2011,Both,Post Neonatal,Non-exclusive breastfeeding,2.199489183421038,38.530455868792906,184.78963508704197
26,Papua New Guinea,2011,Both,1 to 4,Discontinued breastfeeding,98.24728101100625,1132.9433643793816,4495.448996929602
26,Papua New Guinea,2011,Both,Late Neonatal,Non-exclusive breastfeeding,56.20339234215838,533.8002605648746,2046.644836814593
26,Papua New Guinea,2011,Both,Post Neonatal,Discontinued breastfeeding,36.18875346089839,409.371939343541,1588.7172449900102
26,Papua New Guinea,2011,Both,Post Neonatal,Non-exclusive breastfeeding,642.1818728069996,3986.8476916119607,13228.975285482278
27,Samoa,2011,Both,1 to 4,Discontinued breastfeeding,0.37770238433675407,11.277641009567665,60.716406545637085
27,Samoa,2011,Both,Late Neonatal,Non-exclusive breastfeeding,0.34153293156059006,3.877467003236944,16.694329798632936
27,Samoa,2011,Both,Post Neonatal,Discontinued breastfeeding,0.19149367055559177,4.128055036996885,19.62018606458525
27,Samoa,2011,Both,Post Neonatal,Non-exclusive breastfeeding,3.4692452055100267,35.62806986929226,148.64637787969522
28,Solomon Islands,2011,Both,1 to 4,Discontinued breastfeeding,5.705667982571998,62.992970486585236,244.54500654173435
28,Solomon Islands,2011,Both,Late Neonatal,Non-exclusive breastfeeding,4.49671994103021,27.99024891582558,90.30417074974126
28,Solomon Islands,2011,Both,Post Neonatal,Discontinued breastfeeding,1.219918663862372,15.520021364585412,60.56722145213911
28,Solomon Islands,2011,Both,Post Neonatal,Non-exclusive breastfeeding,40.06221161248798,234.78738488747095,760.4831700159299
29,Tonga,2011,Both,1 to 4,Discontinued breastfeeding,0.5744286014931883,9.496828134433429,42.961321422754075
29,Tonga,2011,Both,Late Neonatal,Non-exclusive breastfeeding,0.3600107309678655,2.723032066206718,10.115706259073953
29,Tonga,2011,Both,Post Neonatal,Discontinued breastfeeding,0.12317408158219145,2.003134449454469,8.694908977922953
29,Tonga,2011,Both,Post Neonatal,Non-exclusive breastfeeding,3.252933207173756,26.200046541212377,100.27632122348994
30,Vanuatu,2011,Both,1 to 4,Discontinued breastfeeding,2.7795642586772598,48.65838455088443,219.07280843363745
30,Vanuatu,2011,Both,Late Neonatal,Non-exclusive breastfeeding,1.5135666044508889,19.464826366367266,80.62933299844562
30,Vanuatu,2011,Both,Post Neonatal,Discontinued breastfeeding,0.38701627204220246,7.359988037006713,32.05415993518145
30,Vanuatu,2011,Both,Post Neonatal,Non-exclusive breastfeeding,17.861351390444767,177.1736655812374,694.9314230366035
31,"Central Europe, Eastern Europe, and Central Asia",2011,Both,1 to 4,Discontinued breastfeeding,2482.2908988054096,14979.809653633836,45357.52750557249
31,"Central Europe, Eastern Europe, and Central Asia",2011,Both,Late Neonatal,Non-exclusive breastfeeding,2546.6190051301264,6658.030760989127,14264.036132761816
31,"Central Europe, Eastern Europe, and Central Asia",2011,Both,Post Neonatal,Discontinued breastfeeding,1273.4979900179642,6429.526944570599,16900.965772447893
31,"Central Europe, Eastern Europe, and Central Asia",2011,Both,Post Neonatal,Non-exclusive breastfeeding,23882.082788334093,58983.264171968396,122852.8496492088
32,Central Asia,2011,Both,1 to 4,Discontinued breastfeeding,523.4978173463198,3557.8216106539444,11179.902701206714
32,Central Asia,2011,Both,Late Neonatal,Non-exclusive breastfeeding,720.5861345131581,2282.1049069644127,5441.090279943656
32,Central Asia,2011,Both,Post Neonatal,Discontinued breastfeeding,257.6599578356158,1531.8514640366047,4312.712974533837
32,Central Asia,2011,Both,Post Neonatal,Non-exclusive breastfeeding,6503.535231034119,18252.679015145924,40814.85952512402
33,Armenia,2011,Both,1 to 4,Discontinued breastfeeding,34.124328225007524,231.07639290966708,734.6232884026316
33,Armenia,2011,Both,Late Neonatal,Non-exclusive breastfeeding,20.627738000202413,61.09201753090847,141.3651354521013
33,Armenia,2011,Both,Post Neonatal,Discontinued breastfeeding,17.560740605470418,108.72546379858287,322.99235197040997
33,Armenia,2011,Both,Post Neonatal,Non-exclusive breastfeeding,177.67358807916486,556.0037805680599,1334.5621282908364
34,Azerbaijan,2011,Both,1 to 4,Discontinued breastfeeding,27.84600042655772,879.449073755809,4838.921630392495
34,Azerbaijan,2011,Both,Late Neonatal,Non-exclusive breastfeeding,36.55957547700171,615.053522384187,2923.462648574641
34,Azerbaijan,2011,Both,Post Neonatal,Discontinued breastfeeding,33.38814991800374,809.0285162542161,3920.499997133383
34,Azerbaijan,2011,Both,Post Neonatal,Non-exclusive breastfeeding,322.7230224167556,4604.366589549492,20333.595864207055
35,Georgia,2011,Both,1 to 4,Discontinued breastfeeding,34.330107164218525,260.6268760141856,889.0220437295834
35,Georgia,2011,Both,Late Neonatal,Non-exclusive breastfeeding,13.20069516287344,76.47399195627592,253.23892853335855
35,Georgia,2011,Both,Post Neonatal,Discontinued breastfeeding,15.581176512936041,118.89484980176577,389.5771628053498
35,Georgia,2011,Both,Post Neonatal,Non-exclusive breastfeeding,164.5626618325926,642.8823437484886,1757.4539290502662
36,Kazakhstan,2011,Both,1 to 4,Discontinued breastfeeding,91.98659176150252,618.4093557834104,1910.2864162147541
36,Kazakhstan,2011,Both,Late Neonatal,Non-exclusive breastfeeding,80.23691186310315,268.81116030287274,667.000449881701
36,Kazakhstan,2011,Both,Post Neonatal,Discontinued breastfeeding,30.898607409462468,209.57762490634616,626.8215512043796
36,Kazakhstan,2011,Both,Post Neonatal,Non-exclusive breastfeeding,720.4237433683642,2310.7252084176585,5552.015335599239
37,Kyrgyzstan,2011,Both,1 to 4,Discontinued breastfeeding,44.27670258868183,253.45284806514334,702.2937219397419
37,Kyrgyzstan,2011,Both,Late Neonatal,Non-exclusive breastfeeding,48.28672170527243,132.68243586554408,293.4125318456384
37,Kyrgyzstan,2011,Both,Post Neonatal,Discontinued breastfeeding,16.10229581977378,84.43634977176244,225.33458971982205
37,Kyrgyzstan,2011,Both,Post Neonatal,Non-exclusive breastfeeding,451.8046511637214,1112.885177862334,2311.552729555515
38,Mongolia,2011,Both,1 to 4,Discontinued breastfeeding,11.474721308984865,202.06658460332443,876.7467914413808
38,Mongolia,2011,Both,Late Neonatal,Non-exclusive breastfeeding,15.664797946197671,152.07371534476871,608.7541375488438
38,Mongolia,2011,Both,Post Neonatal,Discontinued breastfeeding,3.914817509019458,81.22838455308404,369.8730797460811
38,Mongolia,2011,Both,Post Neonatal,Non-exclusive breastfeeding,128.5583194601091,1396.0449487057426,5648.777402370993
39,Tajikistan,2011,Both,1 to 4,Discontinued breastfeeding,71.35254237337483,743.4110455466061,2903.8823652874426
39,Tajikistan,2011,Both,Late Neonatal,Non-exclusive breastfeeding,61.32731758064725,547.9243490630012,2040.2991155850832
39,Tajikistan,2011,Both,Post Neonatal,Discontinued breastfeeding,36.48112877672593,335.19670768688934,1164.6970180044889
39,Tajikistan,2011,Both,Post Neonatal,Non-exclusive breastfeeding,873.5166729346925,4140.507621741209,12316.923530143615
40,Turkmenistan,2011,Both,1 to 4,Discontinued breastfeeding,27.03121934540828,167.99436028056903,502.1723460756262
40,Turkmenistan,2011,Both,Late Neonatal,Non-exclusive breastfeeding,45.0591771930826,148.65025747418034,359.4459294841439
40,Turkmenistan,2011,Both,Post Neonatal,Discontinued breastfeeding,9.51758862537998,57.5279588048618,161.3749586608659
40,Turkmenistan,2011,Both,Post Neonatal,Non-exclusive breastfeeding,400.39443505124734,1150.0587602235978,2587.1891557107524
41,Uzbekistan,2011,Both,1 to 4,Discontinued breastfeeding,161.4546241273886,952.1811934489216,2801.1573040337635
41,Uzbekistan,2011,Both,Late Neonatal,Non-exclusive breastfeeding,219.5950303210176,718.6243330036004,1756.6287966493596
41,Uzbekistan,2011,Both,Post Neonatal,Discontinued breastfeeding,50.01483082233141,288.6059919788101,807.675736982417
41,Uzbekistan,2011,Both,Post Neonatal,Non-exclusive breastfeeding,2014.539555944651,5424.153654164838,11811.908970167775
42,Central Europe,2011,Both,1 to 4,Discontinued breastfeeding,821.7877217575002,4090.784633306946,10822.564137340107
42,Central Europe,2011,Both,Late Neonatal,Non-exclusive breastfeeding,902.1025105134335,1550.7480828933546,2471.3184716774476
42,Central Europe,2011,Both,Post Neonatal,Discontinued breastfeeding,740.977362945242,2964.3995981089074,6858.790818693915
42,Central Europe,2011,Both,Post Neonatal,Non-exclusive breastfeeding,8256.613311343288,15262.517617701438,25952.274355372323
43,Albania,2011,Both,1 to 4,Discontinued breastfeeding,8.062967067563559,107.453838477788,463.79053742176677
43,Albania,2011,Both,Late Neonatal,Non-exclusive breastfeeding,18.991138751410897,68.75215737692209,178.81401436708757
43,Albania,2011,Both,Post Neonatal,Discontinued breastfeeding,6.6980876671503475,66.14074474807919,243.3217114696341
43,Albania,2011,Both,Post Neonatal,Non-exclusive breastfeeding,117.36120352490745,668.2268645567119,2143.973639817095
44,Bosnia and Herzegovina,2011,Both,1 to 4,Discontinued breastfeeding,13.592647278010695,148.44829596294315,568.1705801779001
44,Bosnia and Herzegovina,2011,Both,Late Neonatal,Non-exclusive breastfeeding,17.42290245845099,67.0047091083132,177.43203766698548
44,Bosnia and Herzegovina,2011,Both,Post Neonatal,Discontinued breastfeeding,13.967130068996813,143.1398087326613,540.0362420582211
44,Bosnia and Herzegovina,2011,Both,Post Neonatal,Non-exclusive breastfeeding,126.84682256036793,721.1612987180646,2342.8462949965524
45,Bulgaria,2011,Both,1 to 4,Discontinued breastfeeding,41.80526082562766,291.91844116533235,945.5300047828487
45,Bulgaria,2011,Both,Late Neonatal,Non-exclusive breastfeeding,39.76179692665485,115.2563518334389,267.7055979687857
45,Bulgaria,2011,Both,Post Neonatal,Discontinued breastfeeding,51.998988320045314,306.4199307910263,905.5495658074246
45,Bulgaria,2011,Both,Post Neonatal,Non-exclusive breastfeeding,340.08278998312966,1081.1708650748715,2624.8320141466315
46,Croatia,2011,Both,1 to 4,Discontinued breastfeeding,24.44949549727886,177.8892704906481,594.058885993792
46,Croatia,2011,Both,Late Neonatal,Non-exclusive breastfeeding,20.814033032008098,60.3032787647748,138.34896548849198
46,Croatia,2011,Both,Post Neonatal,Discontinued breastfeeding,29.40476637211213,203.3850970391186,651.0664884992714
46,Croatia,2011,Both,Post Neonatal,Non-exclusive breastfeeding,174.46981740691723,604.4689283100495,1565.3340556123735
47,Czechia,2011,Both,1 to 4,Discontinued breastfeeding,67.30135153406971,471.99934236559596,1570.1488049306624
47,Czechia,2011,Both,Late Neonatal,Non-exclusive breastfeeding,54.01397820696724,181.31804702778092,453.4352650108118
47,Czechia,2011,Both,Post Neonatal,Discontinued breastfeeding,68.36832961959188,447.6610017428673,1369.2292646277665
47,Czechia,2011,Both,Post Neonatal,Non-exclusive breastfeeding,552.9517541824794,1824.8221346148532,4550.426504600636
48,Hungary,2011,Both,1 to 4,Discontinued breastfeeding,63.2288777610498,471.8285634275177,1610.9326016069006
48,Hungary,2011,Both,Late Neonatal,Non-exclusive breastfeeding,46.40051387489758,136.9356318293619,319.58138257326436
48,Hungary,2011,Both,Post Neonatal,Discontinued breastfeeding,70.84159669626119,488.19558051083925,1565.9640397926066
48,Hungary,2011,Both,Post Neonatal,Non-exclusive breastfeeding,379.2894457275616,1378.245484028599,3659.0000211331653
49,North Macedonia,2011,Both,1 to 4,Discontinued breastfeeding,9.242568581800539,82.8156376331678,303.9617881132339
49,North Macedonia,2011,Both,Late Neonatal,Non-exclusive breastfeeding,14.202683644925802,45.48993966979079,109.39583874785652
49,North Macedonia,2011,Both,Post Neonatal,Discontinued breastfeeding,9.280388553990914,63.341939289162895,196.59736200764146
49,North Macedonia,2011,Both,Post Neonatal,Non-exclusive breastfeeding,132.04438617198022,454.66543683570893,1160.3214545948117
50,Montenegro,2011,Both,1 to 4,Discontinued breastfeeding,2.1003104078605124,22.85599883949754,89.31661952670497
50,Montenegro,2011,Both,Late Neonatal,Non-exclusive breastfeeding,2.3927729158546818,9.686006188145948,27.315757771901588
50,Montenegro,2011,Both,Post Neonatal,Discontinued breastfeeding,1.9231937855892518,18.72769183293845,69.9551365589857
50,Montenegro,2011,Both,Post Neonatal,Non-exclusive breastfeeding,19.808184676229263,103.44520344389474,329.72528097554607
51,Poland,2011,Both,1 to 4,Discontinued breastfeeding,276.1120012176839,1405.6497427564298,3821.8845456102435
51,Poland,2011,Both,Late Neonatal,Non-exclusive breastfeeding,163.0785288380537,396.35977604953183,814.4105789773746
51,Poland,2011,Both,Post Neonatal,Discontinued breastfeeding,203.10747742820337,975.0665831955012,2471.01540030603
51,Poland,2011,Both,Post Neonatal,Non-exclusive breastfeeding,1677.9909583308527,3645.9961143980872,6950.351646963104
52,Romania,2011,Both,1 to 4,Discontinued breastfeeding,91.55925730307354,701.4913338843763,2386.57032767284
52,Romania,2011,Both,Late Neonatal,Non-exclusive breastfeeding,135.50155375863676,375.5122702888442,821.5840664867309
52,Romania,2011,Both,Post Neonatal,Discontinued breastfeeding,86.12681848562326,469.02246618585093,1303.2143134235262
52,Romania,2011,Both,Post Neonatal,Non-exclusive breastfeeding,1332.7252311424254,3504.431613659107,7583.010415987609
53,Serbia,2011,Both,1 to 4,Discontinued breastfeeding,39.01478135303758,342.4731620010389,1234.9889511632618
53,Serbia,2011,Both,Late Neonatal,Non-exclusive breastfeeding,38.18661193709384,124.65454954688467,309.5318457195454
53,Serbia,2011,Both,Post Neonatal,Discontinued breastfeeding,29.753711598949405,198.85717030001877,602.5786069374115
53,Serbia,2011,Both,Post Neonatal,Non-exclusive breastfeeding,410.5587096568304,1253.0597597477158,3016.2708467601933
54,Slovakia,2011,Both,1 to 4,Discontinued breastfeeding,23.547225450793466,214.96731157640988,785.58906206317
54,Slovakia,2011,Both,Late Neonatal,Non-exclusive breastfeeding,22.615478777210683,67.59523222096432,160.353707334361
54,Slovakia,2011,Both,Post Neonatal,Discontinued breastfeeding,15.349645340750994,111.10445786919718,354.8676276116902
54,Slovakia,2011,Both,Post Neonatal,Non-exclusive breastfeeding,190.33466981756416,651.9458564248205,1671.049770105178
55,Slovenia,2011,Both,1 to 4,Discontinued breastfeeding,8.786760443110744,68.12281807563353,236.7896022550489
55,Slovenia,2011,Both,Late Neonatal,Non-exclusive breastfeeding,9.374567634227711,28.264936041381,66.95029512635143
55,Slovenia,2011,Both,Post Neonatal,Discontinued breastfeeding,4.920810788398107,47.051225492790806,177.31439051465273
55,Slovenia,2011,Both,Post Neonatal,Non-exclusive breastfeeding,66.60264105129795,321.17034728704795,999.113452442398
56,Eastern Europe,2011,Both,1 to 4,Discontinued breastfeeding,2728.0662576693653,12498.040545514925,31803.021819284633
56,Eastern Europe,2011,Both,Late Neonatal,Non-exclusive breastfeeding,1789.1009154887038,2850.5345694838493,4293.264972350237
56,Eastern Europe,2011,Both,Post Neonatal,Discontinued breastfeeding,1896.524002101656,7071.045715450948,15238.60704282364
56,Eastern Europe,2011,Both,Post Neonatal,Non-exclusive breastfeeding,17198.223785486556,28170.150579829286,43252.59841486219
57,Belarus,2011,Both,1 to 4,Discontinued breastfeeding,57.523199729608876,356.1205170155106,1088.5421850508828
57,Belarus,2011,Both,Late Neonatal,Non-exclusive breastfeeding,29.92814494007377,106.04580208899081,275.1445807815921
57,Belarus,2011,Both,Post Neonatal,Discontinued breastfeeding,32.389230464531316,236.62133391851862,775.9760332050591
57,Belarus,2011,Both,Post Neonatal,Non-exclusive breastfeeding,289.05682192280455,1132.3853315798651,3078.5348720248817
58,Estonia,2011,Both,1 to 4,Discontinued breastfeeding,11.687177568260758,80.53656949713407,257.24589177461064
58,Estonia,2011,Both,Late Neonatal,Non-exclusive breastfeeding,4.300202599573931,16.47058799163689,44.96785437259507
58,Estonia,2011,Both,Post Neonatal,Discontinued breastfeeding,6.440292399920012,46.2625751006623,150.76285326649702
58,Estonia,2011,Both,Post Neonatal,Non-exclusive breastfeeding,42.37378307458793,168.73977705261152,468.0907423677026
59,Latvia,2011,Both,1 to 4,Discontinued breastfeeding,10.268967095427946,87.61219515330521,317.7458583261738
59,Latvia,2011,Both,Late Neonatal,Non-exclusive breastfeeding,6.117744542450845,19.105284368434376,46.11002504038474
59,Latvia,2011,Both,Post Neonatal,Discontinued breastfeeding,3.5809165244285586,24.20125198287037,75.61372192583546
59,Latvia,2011,Both,Post Neonatal,Non-exclusive breastfeeding,56.721283881692486,188.16023032608695,474.8069089070023
60,Lithuania,2011,Both,1 to 4,Discontinued breastfeeding,27.86003827474202,172.3689789912596,532.4267074938588
60,Lithuania,2011,Both,Late Neonatal,Non-exclusive breastfeeding,8.17756746312067,26.157440098493495,63.56074516013732
60,Lithuania,2011,Both,Post Neonatal,Discontinued breastfeeding,17.816942197690068,106.62367241137898,315.87574642123565
